YEAR,MO,DY,HR,WS10M,WS50M
2015,1,23,14,3,5.04
2015,1,23,15,2.72,4.91
2015,1,23,16,2.42,5.47
2015,1,23,17,2.99,6.13
2015,1,23,18,2.37,5.59
2015,1,23,19,2.36,5.69
2015,1,23,20,2.41,5.54
2015,1,23,21,2.24,5.37
2015,1,23,22,2.17,5.01
2015,1,23,23,2.13,4.92
2015,1,24,0,2.28,4.84
2015,1,24,1,2.23,4.72
2015,1,24,2,2.03,4.26
2015,1,24,3,1.81,3.99
2015,1,24,4,1.68,4
2015,1,24,5,1.65,4.03
2015,1,24,6,1.43,3.34
2015,1,24,7,1.44,3.07
2015,1,24,8,1.06,2.49
2015,1,24,9,0.97,1.41
2015,1,24,10,0.56,0.7
2015,1,24,11,0.35,0.29
2015,1,24,12,0.7,0.94
2015,1,24,13,0.7,1.24
2015,1,24,14,1.38,2.64
2015,1,24,15,1.54,2.97
2015,1,24,16,1.83,3.63
2015,1,24,17,2.15,3.98
2015,1,24,18,2.36,3.89
2015,1,24,19,2.98,4.49
2015,1,24,20,3.46,5.18
2015,1,24,21,3.42,5.23
2015,1,24,22,3.51,5.57
2015,1,24,23,3.3,5.39
2015,1,25,0,3.38,5.59
2015,1,25,1,3.37,5.66
2015,1,25,2,3.31,5.66
2015,1,25,3,3.18,5.62
2015,1,25,4,3.12,5.68
2015,1,25,5,3.62,6.62
2015,1,25,6,4.14,7.27
2015,1,25,7,4.72,8.02
2015,1,25,8,5.24,8.41
2015,1,25,9,5.09,8.05
2015,1,25,10,4.88,7.64
2015,1,25,11,4.72,7.41
2015,1,25,12,4.71,7.47
2015,1,25,13,4.64,7.48
2015,1,25,14,4.4,7.22
2015,1,25,15,4.09,6.93
2015,1,25,16,3.88,6.75
2015,1,25,17,3.61,6.53
2015,1,25,18,3.14,6.17
2015,1,25,19,2.65,5.37
2015,1,25,20,2.59,5.03
2015,1,25,21,2.72,4.72
2015,1,25,22,2.67,4.16
2015,1,25,23,2.42,3.61
2015,1,26,0,2.29,3.25
2015,1,26,1,2.22,3.11
2015,1,26,2,2.05,2.8
2015,1,26,3,2,2.71
2015,1,26,4,2.06,2.78
2015,1,26,5,2.06,2.8
2015,1,26,6,2.03,2.77
2015,1,26,7,1.99,2.83
2015,1,26,8,1.93,3.16
2015,1,26,9,1.85,2.85
2015,1,26,10,2.07,3.07
2015,1,26,11,2.23,3.35
2015,1,26,12,2.19,3.3
