YEAR,MO,DY,HR,WS10M,WS50M
2021,1,23,1,0.97,1.36
2021,1,23,2,0.82,1.13
2021,1,23,3,1.23,1.74
2021,1,23,4,1.86,2.87
2021,1,23,5,2.31,3.91
2021,1,23,6,2.62,4.58
2021,1,23,7,3.38,3.75
2021,1,23,8,2.52,2.79
2021,1,23,9,2.77,3.22
2021,1,23,10,3.34,3.87
2021,1,23,11,3.99,4.57
2021,1,23,12,4.53,5.12
2021,1,23,13,4.89,5.48
2021,1,23,14,5.35,6.05
2021,1,23,15,5.81,6.8
2021,1,23,16,5.8,7.27
2021,1,23,17,5.16,7
2021,1,23,18,4.62,6.67
2021,1,23,19,4.09,6.5
2021,1,23,20,3.49,6.29
2021,1,23,21,3.29,6.27
2021,1,23,22,3.31,6.42
2021,1,23,23,3.42,6.83
2021,1,24,0,4.01,7.56
2021,1,24,1,4.21,7.83
2021,1,24,2,4.56,8.07
2021,1,24,3,4.91,8.38
2021,1,24,4,5.46,8.87
2021,1,24,5,5.91,9.24
2021,1,24,6,6.4,9.3
2021,1,24,7,7.85,10.1
2021,1,24,8,9.85,12.48
2021,1,24,9,10.87,13.49
2021,1,24,10,11.29,13.92
2021,1,24,11,11.51,14.11
2021,1,24,12,11.73,14.35
2021,1,24,13,11.83,14.53
2021,1,24,14,11.72,14.51
2021,1,24,15,11.31,14.17
2021,1,24,16,10.03,12.83
2021,1,24,17,9.18,12.31
2021,1,24,18,9.44,12.72
2021,1,24,19,9.61,12.94
2021,1,24,20,9.98,13.44
2021,1,24,21,10.4,13.96
2021,1,24,22,11.03,14.9
2021,1,24,23,11.43,15.3
2021,1,25,0,11.84,15.81
2021,1,25,1,11.89,15.82
2021,1,25,2,11.57,15.49
2021,1,25,3,11.04,14.85
2021,1,25,4,10.23,13.9
2021,1,25,5,9.1,12.55
2021,1,25,6,8.05,10.99
2021,1,25,7,8.54,10.93
2021,1,25,8,8.9,10.92
2021,1,25,9,7.64,9.09
2021,1,25,10,5.88,6.88
2021,1,25,11,5.15,6.01
2021,1,25,12,5.16,6.06
2021,1,25,13,5.21,6.15
2021,1,25,14,4.7,5.55
2021,1,25,15,3.77,4.54
2021,1,25,16,2.13,3.63
2021,1,25,17,2.05,3.34
2021,1,25,18,2.26,3.71
2021,1,25,19,2.24,3.74
2021,1,25,20,1.73,2.74
2021,1,25,21,1.22,1.87
2021,1,25,22,2.31,4.07
2021,1,25,23,3.3,6.41
2021,1,26,0,4.39,7.36
2021,1,26,1,4.34,7.35
2021,1,26,2,3.88,7.12
2021,1,26,3,3.6,6.83
2021,1,26,4,3.21,6.3
2021,1,26,5,2.78,5.61
2021,1,26,6,2.77,4.68
2021,1,26,7,3.18,3.4
2021,1,26,8,1.62,1.5
2021,1,26,9,1.83,2.04
2021,1,26,10,2.89,3.33
2021,1,26,11,3.72,4.32
2021,1,26,12,4.03,4.71
2021,1,26,13,3.81,4.46
2021,1,26,14,3.14,3.66
2021,1,26,15,2.56,2.97
2021,1,26,16,1.87,3.3
2021,1,26,17,2.58,4.77
